"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","HSC0","HSC1","HSC2","HSC3","HSC4","HSC5","MY","SCC","CBC","DIA"
"159","40","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","1","0","0","1","0","0","0","0","0",9000,"88","7","2"
"160","40",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","0","0","1","0","0","0","0","0",9000,"88","7","2"
"161","41",">32","<=0.03",">8","4","<=4","16","<=0.25","<=0.25","<=0.25",">64","<=1",">64",">32",">16",">512","2","0","1","2","0","0","1","0","0","0",8900,"129","1","1"
"162","41","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","1","2","0","0","1","0","0","0",8900,"129","1","1"
"163","41",">32","<=0.03","0.03","8","<=4","1","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","0","1","2","0","0","1","0","0","0",8900,"129","1","1"
"164","41",">32","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","2","0","1","2","0","0","1","0","0","0",8900,"129","1","1"
"165","42",">32","<=0.03","<=0.015","4","<=4","8","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","2","1","1","0","1","0","0","0","0","0",9500,"148","2","0"
"166","42",">32","<=0.03","<=0.015","4","<=4","8","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","2","1","1","0","1","0","0","0","0","0",9500,"148","2","0"
"167","42",">32","<=0.03","0.25","8","<=4","1","<=0.25","<=0.25","<=0.25","64","<=1","8",">32",">16",">512","2","1","1","0","1","0","0","0","0","0",9500,"148","2","0"
"168","42","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","1","1","0","1","0","0","0","0","0",9500,"148","2","0"
"185","47","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2",">16",">512","2","1","NA","0","1","0","0","0","0","0",9000,"93","NA","0"
"186","47","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2",">16",">512","2","1","NA","0","1","0","0","0","0","0",9000,"93","NA","0"
"187","47","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","1","NA","0","1","0","0","0","0","0",9000,"93","NA","0"
"188","47","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2",">16",">512","2","1","NA","0","1","0","0","0","0","0",9000,"93","NA","0"
"189","48","2","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","1","2","0","0","1","0","0","0",9000,"NA","1","1"
"190","48","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","0","1","2","0","0","1","0","0","0",9000,"NA","1","1"
"191","48","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","1","2","0","0","1","0","0","0",9000,"NA","1","1"
"192","48","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","8","0.5","32","2","0","1","2","0","0","1","0","0","0",9000,"NA","1","1"
"193","49",">32","<=0.03","<=0.015",">64","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32",">16",">512","2","1","NA","0","1","0","0","0","0","0",9000,"196","NA","3"
"194","49","2","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","0","1","0","0","0","0","0",9000,"196","NA","3"
"195","49",">32","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","<=0.25",">512","2","1","NA","0","1","0","0","0","0","0",9000,"196","NA","3"
"196","49",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","<=0.25",">512","2","1","NA","0","1","0","0","0","0","0",9000,"196","NA","3"
"197","50","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","1","4","0","0","0","0","1","0",11000,"128","2","0"
"198","50","2","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","<=0.25","<=8","1","0","1","4","0","0","0","0","1","0",11000,"128","2","0"
"199","50","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","32","1","0","1","4","0","0","0","0","1","0",11000,"128","2","0"
"200","50","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","1","4","0","0","0","0","1","0",11000,"128","2","0"
"205","52",">32","<=0.03","8","8","<=4","<=0.5","<=0.25","1",">4",">64","<=1",">64",">32",">16",">512","2","1","0","0","1","0","0","0","0","0",9500,"158","30","4"
"206","52",">32","<=0.03","8","8","<=4","<=0.5","<=0.25","1",">4",">64","<=1",">64",">32",">16",">512","2","1","0","0","1","0","0","0","0","0",9500,"158","30","4"
"207","52",">32","<=0.03","<=0.015","4","<=4","16","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32",">16",">512","2","1","0","0","1","0","0","0","0","0",9500,"158","30","4"
"208","52",">32","<=0.03","8","8","<=4","<=0.5","<=0.25","1",">4",">64","<=1",">64",">32",">16",">512","2","1","0","0","1","0","0","0","0","0",9500,"158","30","4"
"225","57","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","1","NA","1","0","1","0","0","0","0",8500,"162","NA","3"
